id,eeg,annotation
N09,-34.1924644183729,1
N09,-30.1048092219991,1
N09,-26.1310309766854,1
N09,-26.2260333453869,1
N09,-27.0394762476221,1
N09,-28.6813378084307,1
N09,-30.4141504711424,1
N09,-30.8166975238977,1
N09,-34.1139479463474,1
N09,-32.3655595350628,1
N09,-33.0812741085549,1
N09,-37.1999206971639,1
N09,-40.1901965960484,1
N09,-36.0724999064401,1
N09,-36.6801012460202,1
N09,-42.3571235488536,1
N09,-44.8028743747178,1
N09,-38.2502879115006,1
N09,-36.7225282743146,1
N09,-35.2461437002442,1
N09,-32.7845511883627,1
N09,-31.6071996348271,1
N09,-24.5025320097073,1
N09,-21.4854137159505,1
N09,-23.8461034050457,1
N09,-17.1672542800113,1
N09,-16.0905371143014,1
N09,-18.2518426810333,1
N09,-16.9492625185239,1
N09,-18.8083727564605,1
N09,-23.219074539925,1
N09,-28.3056311311531,1
N09,-27.2144655243576,1
N09,-29.4944129943067,1
N09,-30.720420382628,1
N09,-31.5589762649227,1
N09,-33.0907458274317,1
N09,-35.8527416047349,1
N09,-35.2884634913659,1
N09,-34.2483193411753,1
N09,-33.7879485285338,1
N09,-32.2289680535466,1
N09,-33.9178092479635,1
N09,-36.9949304579694,1
N09,-38.9470870460056,1
N09,-42.2851593774267,1
N09,-43.2522093302744,1
N09,-43.1233563594416,1
N09,-45.0957992950144,1
N09,-44.3449006689498,1
N09,-44.8225630027242,1
N09,-44.8025236432376,1
N09,-45.2341846805655,1
N09,-45.4806391780366,1
N09,-43.5842267524638,1
N09,-44.1953293614681,1
N09,-42.9738426436906,1
N09,-41.8846601177895,1
N09,-41.9414734256963,1
N09,-38.8777273446217,1
N09,-32.6351427771252,1
N09,-30.4723026113199,1
N09,-28.1077587700861,1
N09,-21.2970475995148,1
N09,-15.780038525962,1
N09,-15.4788279505972,1
N09,-8.76888322624418,1
N09,-0.826329602026494,1
N09,-0.93482206225023,1
N09,2.90402758154048,1
N09,4.6617413810929,1
N09,6.27488508376764,1
N09,15.7117977785151,1
N09,19.5524350383882,1
N09,22.9943740603961,1
N09,23.8352697325831,1
N09,24.6714786142181,1
N09,23.6850589573569,1
N09,23.9859190748179,1
N09,23.6580194946636,1
N09,19.3521044041884,1
N09,16.699459075316,1
N09,13.8761556237965,1
N09,9.73586779988427,1
N09,5.12429340691776,1
N09,1.18119299746265,1
N09,-1.24603583176822,1
N09,-4.65954114897606,1
N09,-8.75925100160614,1
N09,-11.4869032530541,1
N09,-16.5390949796791,1
N09,-20.1028424658591,1
N09,-22.4337223421866,1
N09,-26.2297314818254,1
N09,-28.8434606661205,1
N09,-30.1739818065036,1
N09,-34.2531185264271,1
N09,-34.3999002259679,1
N09,-36.8817954123242,1
N09,-36.6399690334781,1
N09,-37.9921777113264,1
N09,-35.862437238183,1
N09,-35.0887518442904,1
N09,-33.5142720710625,1
N09,-32.3578358478483,1
N09,-30.204349411538,1
N09,-29.0592276107949,1
N09,-25.4115245629993,1
N09,-24.4376217026683,1
N09,-22.4927393716279,1
N09,-20.5784698580986,1
N09,-18.4057242099727,1
N09,-19.6693156581678,1
N09,-18.0656455071105,1
N09,-15.0488599100721,1
N09,-18.100582660092,1
N09,-17.0507051494207,1
N09,-15.591854862922,1
N09,-14.8997107884849,1
N09,-13.9721906014277,1
N09,-13.4348831323749,1
N09,-12.1512122275984,1
N09,-12.2130630739889,1
N09,-18.6069255515883,1
N09,-22.6351702272974,1
N09,-28.5207696315359,1
N09,-33.1406796403357,1
N09,-35.0445520739399,1
N09,-35.9022430314774,1
N09,-35.9016673477957,1
N09,-41.2397231830131,1
N09,-50.7643662908483,1
N09,-64.9797489165998,1
N09,-79.8531780076452,1
N09,-88.6544668960759,1
N09,-93.9914195909149,1
N09,-104.088766940404,1
N09,-114.300116067214,1
N09,-118.55661771167,1
N09,-119.897883138457,1
N09,-124.486863266847,1
N09,-130.069387871003,1
N09,-133.061751784939,1
N09,-133.324085885338,1
N09,-135.754433874156,1
N09,-135.873670586098,1
N09,-133.818930903111,1
N09,-134.256836172765,1
N09,-139.460500773721,1
N09,-141.54555458506,1
N09,-142.639848740444,1
N09,-140.824697154699,1
N09,-139.980664771426,1
N09,-136.147074924475,1
N09,-128.041269702108,1
N09,-124.019246630332,1
N09,-117.927632891334,1
N09,-109.676686270142,1
N09,-104.150663923601,1
N09,-100.71428493929,1
N09,-98.2615792103621,1
N09,-89.8228571777954,1
N09,-82.0406618272615,1
N09,-68.1608715763035,1
N09,-51.9210917843064,1
N09,-39.5767954900106,1
N09,-29.6500936198277,1
N09,-19.3885819809151,1
N09,-10.4547091884178,1
N09,6.07818900747206,1
N09,25.120832440012,1
N09,42.5314841268837,1
N09,57.58113885963,1
N09,70.2416655518625,1
N09,84.5569567681892,1
N09,98.6748467646633,1
N09,109.323260859865,1
N09,117.367254646177,1
N09,122.477880241403,1
N09,130.93042619837,1
N09,135.839387947013,1
N09,140.597723897869,1
N09,144.885930274619,1
N09,149.676073147324,1
N09,151.723151537697,1
N09,153.539060157871,1
N09,154.676685044068,1
N09,155.606603935204,1
N09,161.530420117375,1
N09,166.035520050167,1
N09,176.799988922485,1
N09,185.968039691708,1
N09,190.318647425954,1
N09,190.839249501766,1
N09,186.833237617904,1
N09,180.735398479137,1
N09,172.16716274146,1
N09,167.102580490611,1
N09,170.544925454037,1
N09,175.565295108552,1
N09,176.980394853223,1
N09,177.760461651847,1
N09,182.433157009388,1
N09,183.04330993223,1
N09,178.352616981707,1
N09,176.868625131917,1
N09,178.454162440218,1
N09,180.775593676903,1
N09,180.697611113714,1
N09,181.366363768621,1
N09,184.287606577011,1
N09,185.486035310312,1
N09,186.97705189053,1
N09,185.257728200922,1
N09,188.989412589298,1
N09,190.943373514939,1
N09,192.307336410272,1
N09,191.974051699984,1
N09,192.976289239634,1
N09,197.070035567034,1
N09,201.652930671261,1
N09,207.45606114928,1
N09,209.279036158374,1
N09,210.826228280195,1
N09,210.836574113468,1
N09,210.144094385751,1
N09,212.04896314527,1
N09,211.183160799774,1
N09,212.984790347499,1
N09,209.493927155138,1
N09,212.099732860449,1
N09,216.299159923866,1
N09,212.393236788257,1
N09,208.525717135457,1
N09,202.555716241582,1
N09,194.714120844887,1
N09,187.5354720816,1
N09,180.834199247945,1
N09,175.141716311784,1
N09,172.052009663915,1
N09,176.190475093646,1
N09,175.560254152474,1
N09,176.237061986502,1
N09,178.07149377444,1
N09,175.432065121093,1
N09,172.897904789697,1
N09,173.768850309068,1
N09,176.532788101056,1
N09,179.498198385768,1
N09,183.18590992595,1
N09,182.102289417841,1
N09,180.707977762008,1
N09,179.228433612634,1
N09,180.470244488348,1
N09,182.458607615614,1
N09,183.950520729119,1
N09,182.407052316422,1
N09,179.41419121466,1
N09,175.583903224371,1
N09,174.750145018497,1
N09,168.62300391347,1
N09,162.548960097898,1
N09,159.362661938508,1
N09,158.501845372264,1
N09,154.97695023325,1
N09,150.511736377703,1
N09,145.326014598551,1
N09,143.874063538162,1
N09,139.916806866554,1
N09,137.134313117347,1
N09,137.499534683775,1
N09,135.432680877134,1
N09,134.882141366931,1
N09,136.707370287998,1
N09,138.300641014581,1
N09,138.761882037643,1
N09,141.273271050522,1
N09,138.6555395488,1
N09,125.029477620557,1
N09,97.7744241421962,1
N09,80.0695757787695,1
N09,57.6560164516104,1
N09,39.2919970033885,1
N09,32.9185316536853,1
N09,33.5943469873752,1
N09,37.0407663658118,1
N09,43.9574758222017,1
N09,47.4341237981121,1
N09,48.3376811265116,1
N09,45.5481556798516,1
N09,40.2468468018318,1
N09,34.9388804170765,1
N09,31.3610798208199,1
N09,26.810878004438,1
N09,21.6866624397029,1
N09,12.1787284431239,1
N09,-8.66976113401461,1
N09,-20.9340303620895,1
N09,-31.3004319211883,1
N09,-45.3798634115347,1
N09,-58.6432205903077,1
N09,-69.4033335285375,1
N09,-71.6627394481639,1
N09,-75.3168205324954,1
N09,-75.7538836675066,1
N09,-74.7607184464029,1
N09,-75.3194768763816,1
N09,-76.5227399535708,1
N09,-79.3999745463263,1
N09,-80.0325435836322,1
N09,-77.4224720529118,1
N09,-75.3284140626444,1
